# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 3.461266094225781291e-05 1.618763780148716469e+00
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 3.590769009589395632e-05 1.602931278497092826e+00
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 3.729311859714824605e-05 1.646112032247381229e+00
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 3.877338565167619169e-05 1.688227427248799151e+00
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 4.036430943659201999e-05 1.723686458420950807e+00
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 4.203603730994130526e-05 1.751784434785142119e+00
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 4.379381085031752561e-05 1.772092298108987940e+00
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 4.563890961298400066e-05 1.793926974768295546e+00
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621395616385084310e-02 9.709491024109864838e+02 4.758042016635458479e-05 1.808987066831590385e+00
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.818256922686806748e-02 9.720050595976202885e+02 4.953316811759033263e-05 1.757331169233343537e+00
2.360981689231319847e-01 1.639740790923009683e+01 1.559055831384030255e-01 5.015722683954214334e-02 9.731303578526769797e+02 5.152478721836992138e-05 1.752038551226649199e+00
2.457999243186528293e-01 1.606633361741558730e+01 1.595565687577231440e-01 5.218258144892479883e-02 9.743228551774257085e+02 5.355315582986028706e-05 1.799092747517063273e+00
2.558976191211208007e-01 1.576919367648544501e+01 1.633588702301107254e-01 5.449021877021869437e-02 9.755333627557566842e+02 5.599382538201306625e-05 2.019376192650462976e+00
2.663824766855039661e-01 1.549900286350459488e+01 1.672975004602663684e-01 5.710461975584900374e-02 9.767723454527542799e+02 5.861224741443184493e-05 2.268481293603358484e+00
2.772752173236985307e-01 1.525759096027663730e+01 1.711895803879463218e-01 6.021335743921615163e-02 9.780679996452339537e+02 6.165925951735106358e-05 2.493902202093033704e+00
2.886293347328137693e-01 1.502725395609662584e+01 1.750083849670552860e-01 6.418139660968860682e-02 9.794228535666152311e+02 6.557935425431771063e-05 2.629889455949690813e+00
3.004871757350400796e-01 1.482007566263457754e+01 1.788219790300695777e-01 6.845274957866739896e-02 9.808353922111585916e+02 6.974362097183428252e-05 2.775003336439059609e+00
3.128785471523106709e-01 1.462967448359886724e+01 1.826612166545701632e-01 7.257199346792717054e-02 9.823072740777189438e+02 7.376401411933981920e-05 2.763230284827149053e+00
3.258337993747116301e-01 1.445711351707864445e+01 1.865127382705823733e-01 7.678447797609885828e-02 9.838410914048014320e+02 7.798761689252425671e-05 2.731184776504996137e+00
3.393832795249558387e-01 1.429738463012597371e+01 1.903865790043819117e-01 8.120528072378843665e-02 9.854415759391935126e+02 8.232987350930555490e-05 2.724991266300275328e+00
3.535575936247990492e-01 1.414233738753276270e+01 1.942790820494719461e-01 8.582156474141112990e-02 9.871105097146103162e+02 8.688555951862403826e-05 2.729202561755901701e+00
3.683867034492375736e-01 1.401187380223410628e+01 1.981983950196866406e-01 9.063705959042087090e-02 9.888528335723483451e+02 9.158249962685687331e-05 2.733685778540223765e+00
3.839006121924573578e-01 1.388746545048625869e+01 2.021424363169721794e-01 9.566395939581140428e-02 9.906710597010461470e+02 9.651747595909697527e-05 2.738391619252752207e+00
4.001285288337815826e-01 1.377177873424257726e+01 2.061166239288779733e-01 1.009119689345549936e-01 9.925697600850518256e+02 1.015884436550028216e-04 2.743383384776423295e+00
4.170997602763264478e-01 1.367713884557751136e+01 2.101214387666744954e-01 1.063915598889514369e-01 9.945527469665602212e+02 1.069161083111437225e-04 2.748613948058421741e+00
4.348426167399883635e-01 1.357778555131811871e+01 2.141583966890116264e-01 1.121164668872355052e-01 9.966237753856138397e+02 1.124243295084830462e-04 2.754127274340816278e+00
4.533851904739967797e-01 1.349733646213891269e+01 2.182309180970970208e-01 1.180961483836993897e-01 9.987880100780051862e+02 1.181599566688355178e-04 2.759916684559271527e+00
4.727547797657293827e-01 1.341748923659401704e+01 2.223391293770377031e-01 1.243447971004933150e-01 1.001049488842254618e+03 1.241524472036322933e-04 2.765988884610966370e+00
4.929777746725867993e-01 1.334886194233298262e+01 2.264847665311031100e-01 1.308762434097090477e-01 1.003412981060320476e+03 1.303585547961340699e-04 2.772371386363370771e+00
5.140798028173478862e-01 1.328758252615850743e+01 2.306700465823920132e-01 1.377030342540952745e-01 1.005883939774665578e+03 1.368126948388982147e-04 2.779057818191513096e+00
5.360853831485582477e-01 1.323805514572772246e+01 2.348957070832134453e-01 1.448402213310744646e-01 1.008467444708336529e+03 1.435395247084104108e-04 2.786052613707736825e+00
5.590177933242077568e-01 1.318710538232422280e+01 2.391628305240268426e-01 1.523033975685931518e-01 1.011168954203845146e+03 1.505424947954958452e-04 2.793382898883519427e+00
