# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 2.477679476327811927e+07 4.507879697194705840e-03
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 2.026766722302864864e+07 5.615034206823061799e-03
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 1.663396936166347004e+07 6.891618528167578646e-03
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 1.368632501992495172e+07 8.349610980408747607e-03
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 1.128207260422350839e+07 1.000453347959619384e-02
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 9.313492222815847024e+06 1.183450014532553586e-02
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 7.697346366330365650e+06 1.385217736647513347e-02
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 6.367320015999048017e+06 1.605011799853259605e-02
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621423987959008550e-02 9.709491024109864838e+02 5.270687283669267781e+06 1.842726511507529821e-02
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.819147655292495280e-02 9.720050595976202885e+02 4.365361473535636440e+06 2.094702769162257172e-02
2.360982043906497685e-01 1.639740711259520367e+01 1.559046731329871149e-01 5.009096729627381811e-02 9.731309507720010288e+02 3.617192928761668969e+06 2.365820673164080803e-02
2.458002994125583762e-01 1.606633613325331567e+01 1.595559908306130592e-01 5.204821496457751745e-02 9.743232274314356118e+02 2.990064448851314839e+06 2.648689004219502430e-02
2.558961099236125580e-01 1.576925024420432564e+01 1.633737329311693021e-01 5.515844406624306751e-02 9.755259121454079150e+02 2.486496361054150388e+06 2.957151995897669763e-02
2.663876056552162419e-01 1.549882824131481307e+01 1.671854331823922901e-01 5.934757048956942893e-02 9.767668688942388826e+02 2.063194621750009479e+06 3.270683855870171186e-02
2.773453999974793138e-01 1.525187266758597993e+01 1.707776222548111067e-01 6.495503849475350866e-02 9.780701946369940742e+02 1.711318425766692031e+06 3.596188381242058224e-02
2.888406238111079216e-01 1.502203621011299717e+01 1.742881130583241456e-01 7.080487886936091824e-02 9.794305439507838855e+02 1.417883491337384796e+06 3.938315643437471925e-02
3.009217930442111832e-01 1.481202793097533998e+01 1.777456600334096082e-01 7.643260820597912175e-02 9.808492276796246188e+02 1.173178164733521407e+06 4.291233927418911659e-02
3.136376099400138284e-01 1.462759218102690006e+01 1.811563898174589349e-01 8.233845961987820705e-02 9.823313089286865534e+02 9.692110703193400986e+05 4.642131639045133512e-02
3.270362533657074078e-01 1.444682948445703730e+01 1.845255118702074648e-01 8.851688168457438888e-02 9.838800417951994177e+02 7.991953791279847501e+05 5.021024600697161083e-02
3.411649322282626628e-01 1.428714695601668261e+01 1.878600723185111510e-01 9.497854089433645230e-02 9.854991443736510064e+02 6.582101862639202736e+05 5.401092154125600175e-02
