# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 3.461266094225781291e-05 1.618763780148716469e+00
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 3.590769009589395632e-05 1.602931278497092826e+00
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 3.729311859714824605e-05 1.646112032247381229e+00
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 3.877338565167619169e-05 1.688227427248799151e+00
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 4.036430943659201999e-05 1.723686458420950807e+00
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 4.203603730994130526e-05 1.751784434785142119e+00
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 4.379381085031752561e-05 1.772092298108987940e+00
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 4.563890961298400066e-05 1.793926974768295546e+00
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621382317891939429e-02 9.709491024109864838e+02 4.758042016635458479e-05 1.809929719805833059e+00
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.817839413193630155e-02 9.720050595976202885e+02 4.953316811759033263e-05 1.767019781567840120e+00
2.360981518926150713e-01 1.639740829155660862e+01 1.559061346336912124e-01 5.021698095283377850e-02 9.731293582667677811e+02 5.154247712002462995e-05 1.697187764970960133e+00
2.457997442114179532e-01 1.606633250513266731e+01 1.595569190018783778e-01 5.226393487502323243e-02 9.743222322669147388e+02 5.360817882134731615e-05 1.597218186285195740e+00
2.558984628157023877e-01 1.576916191040598214e+01 1.633485578650321901e-01 5.399186441478456833e-02 9.755446873644229981e+02 5.515833795648572948e-05 1.575482136946551259e+00
2.663818065849207772e-01 1.549903307993750978e+01 1.673341358489894848e-01 5.557351675243044770e-02 9.767924961362684826e+02 5.675438395476533997e-05 1.559224360076584270e+00
2.772400078226749387e-01 1.525768731635946551e+01 1.714661751511586674e-01 5.717537489743658441e-02 9.780775146224077616e+02 5.845191680834150438e-05 1.541793660341387762e+00
2.884780306852069987e-01 1.502922680878880435e+01 1.756746243256862572e-01 5.900028213061626198e-02 9.794170885413694805e+02 6.025626623098538469e-05 1.523133053660066460e+00
3.001190984457961508e-01 1.482207600153432914e+01 1.799056583774704399e-01 6.123759525018140915e-02 9.808226324208022788e+02 6.252598996723037221e-05 1.558953148769738117e+00
3.121861127218907850e-01 1.463693553434855943e+01 1.842036273155198967e-01 6.385399410969032352e-02 9.822828717376006580e+02 6.503659226459266717e-05 1.612786997863502547e+00
3.246947867846014524e-01 1.446780453256200616e+01 1.885845221482707057e-01 6.666799626924847788e-02 9.838019514998942441e+02 6.770405675241095850e-05 1.670214776299493886e+00
3.376562100887000595e-01 1.430733072235172010e+01 1.930708349651173439e-01 6.948667566476297852e-02 9.853839955181936148e+02 7.046572291890497908e-05 1.716098018453882768e+00
3.510783558977109697e-01 1.415725504732900930e+01 1.976578371005447698e-01 7.231691479575966253e-02 9.870276706528221666e+02 7.314226861666776674e-05 1.709885720913865814e+00
3.649727299315995155e-01 1.402766647502304487e+01 2.023402034941146621e-01 7.523307490028495470e-02 9.887360904568873821e+02 7.598555966142989614e-05 1.703166071625992872e+00
3.793499041935363136e-01 1.389769078434128069e+01 2.071272737388071827e-01 7.826958029170569264e-02 9.905150528060254373e+02 7.898402633933548564e-05 1.696935183427301874e+00
3.942187931514984367e-01 1.378741437677087767e+01 2.120182086047532055e-01 8.143859258031559134e-02 9.923647996029343403e+02 8.196694966604790215e-05 1.699935144891557837e+00
4.095901209154023115e-01 1.367748359140871273e+01 2.170108236692321058e-01 8.473410035987913314e-02 9.942878881024514612e+02 8.513480718202414397e-05 1.703049052878730540e+00
4.254732398474909694e-01 1.357943526820935709e+01 2.221142251931142175e-01 8.816179194982337597e-02 9.962903666204553019e+02 8.843029178357919660e-05 1.706306052356419745e+00
4.418764215883252966e-01 1.348803096975816196e+01 2.273248342638873043e-01 9.172821846288090053e-02 9.983721426948372937e+02 9.177734670450366070e-05 1.709730759604872974e+00
4.588090042112959455e-01 1.340718517423449541e+01 2.326454976804114005e-01 9.543757251801882058e-02 1.000538214739900468e+03 9.533064479320756644e-05 1.713290013136670398e+00
4.762781852707240748e-01 1.332735907712337031e+01 2.380816511355731135e-01 9.929719237351132544e-02 1.002792722141340278e+03 9.892746887786002378e-05 1.717027727996556230e+00
4.942916206305453808e-01 1.325716767568705023e+01 2.436296228950901865e-01 1.033126254332656785e-01 1.005137246791962639e+03 1.027026573755750161e-04 1.720920113891010850e+00
5.128558186095232285e-01 1.318772585591672453e+01 2.492969752042412668e-01 1.074905006278630143e-01 1.007578236752040880e+03 1.065968316928194663e-04 1.724987453693340722e+00
5.319764825232741190e-01 1.312713469268716260e+01 2.550804888836722961e-01 1.118380025702321590e-01 1.010116962513835688e+03 1.106262680064967231e-04 1.729231174704612517e+00
