# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
5.644540418800833015e-01 1.309759154661313296e+01 2.533526892573189082e-01 1.328744864328296194e-01 1.013271805211284573e+03 1.310702985315521571e-04 2.141763194417161564e+00
5.866023824731469993e-01 1.305121071558909307e+01 2.586166201423178990e-01 1.388695904766074352e-01 1.016107798165583972e+03 1.365757881121928833e-04 2.147672193475637759e+00
6.094936980198049081e-01 1.300797514870132154e+01 2.639653043137071275e-01 1.451227415409915289e-01 1.019066538564997131e+03 1.423098761174036915e-04 2.153841293499007659e+00
6.331360947758710722e-01 1.297069184563046740e+01 2.693989491669800396e-01 1.516462727777193320e-01 1.022153080141632586e+03 1.482771902435905649e-04 2.160282330427409470e+00
6.575361067239051671e-01 1.293745036610876831e+01 2.749187647035317705e-01 1.584525824835635033e-01 1.025373223150448212e+03 1.544398051890200898e-04 2.167014216665075210e+00
6.826986946774129539e-01 1.290760152229163893e+01 2.805264199134069325e-01 1.655542890397580513e-01 1.028733500553021713e+03 1.608224373690894855e-04 2.174065693085141415e+00
7.086270186391754322e-01 1.287755751463041598e+01 2.862225094760000310e-01 1.729649933447119092e-01 1.032240136078078422e+03 1.674497319726016330e-04 2.181409705400255028e+00
7.353223140210776165e-01 1.285110763580471094e+01 2.920078243987033195e-01 1.806988156159271830e-01 1.035899750662255201e+03 1.743232559818934152e-04 2.189060428382418877e+00
7.627837689862931869e-01 1.282895918127649360e+01 2.978832310478807810e-01 1.887705520422752747e-01 1.039719370802647290e+03 1.814464308596236517e-04 2.197064878593594006e+00
7.910084404807432579e-01 1.280944356283204932e+01 3.038495258363510532e-01 1.971960667562619174e-01 1.043706372093936125e+03 1.888244502686478674e-04 2.205451804976355845e+00
8.199911130651191815e-01 1.279168587683032321e+01 3.099074296649864113e-01 2.059914544445158036e-01 1.047868490370020027e+03 1.964633868166397739e-04 2.214179287107298055e+00
8.497241921673270859e-01 1.277791119945618448e+01 3.160575613285969698e-01 2.151736420302672870e-01 1.052213819173581214e+03 2.043704266906413937e-04 2.223310662197359733e+00
8.801976093551988622e-01 1.276011280805290937e+01 3.223004455403807311e-01 2.247608504508160077e-01 1.056750834152944662e+03 2.125540773708924601e-04 2.232913121196991924e+00
9.113986927880164401e-01 1.274804765597587952e+01 3.286364881229708601e-01 2.347721332135264682e-01 1.061488398642115044e+03 2.210237160478906735e-04 2.242881935297749596e+00
9.433121220890875458e-01 1.273834236195845371e+01 3.350660200242668307e-01 2.452263651077983553e-01 1.066435822886052847e+03 2.297885376210850503e-04 2.253229351016210469e+00
9.759198249685628879e-01 1.272811959922890779e+01 3.415893154654695563e-01 2.561445680713346773e-01 1.071602908582736518e+03 2.388595413499194117e-04 2.264143143794822954e+00
1.009200917518750629e+00 1.271854735909200862e+01 3.482065559019444367e-01 2.675488383009612114e-01 1.076999948591114844e+03 2.482483806824799634e-04 2.275442011395152342e+00
1.043131639955781065e+00 1.270875930177263236e+01 3.549178528721891324e-01 2.794604847463355024e-01 1.082637764689596224e+03 2.579473799783968532e-04 2.287379252842686839e+00
1.077685336133932470e+00 1.269991440040654851e+01 3.617229492812669145e-01 2.919064331881315866e-01 1.088527502243241088e+03 2.679665902160374095e-04 2.299850609215242425e+00
1.112832457764386662e+00 1.269119830082054179e+01 3.686217698372452611e-01 3.049083105765741930e-01 1.094681152234021965e+03 2.783362724482405762e-04 2.312616444449420161e+00
1.148540530007990279e+00 1.268900468410289406e+01 3.756140228107987533e-01 3.184941991766138680e-01 1.101111180257339811e+03 2.890253619197022069e-04 2.326351280765898810e+00
1.184774178303797720e+00 1.267927666496544248e+01 3.826992099081390486e-01 3.326926650332598379e-01 1.107830654999993840e+03 3.000857979390134859e-04 2.340385176217298913e+00
1.221495186947169298e+00 1.267002562996938231e+01 3.898767799410802204e-01 3.475299780634970026e-01 1.114853343410057050e+03 3.114786478498668670e-04 2.355295389299329578e+00
1.258662535846329700e+00 1.266199310308350867e+01 3.971460523734105519e-01 3.630403805015456342e-01 1.122193764691032129e+03 3.232466895272353459e-04 2.370786239833583497e+00
1.296232535249549622e+00 1.265944494089261596e+01 4.045061156152840454e-01 3.792526602839992877e-01 1.129867071719919068e+03 3.353876624788487758e-04 2.386822895397272770e+00
1.334158857278674004e+00 1.264957506884385730e+01 4.119559827614115433e-01 3.962029468589636783e-01 1.137889280320608350e+03 3.479039850635887968e-04 2.403699136428806504e+00
1.372392741412899353e+00 1.263968675305484801e+01 4.194945040604981523e-01 4.139244280251576646e-01 1.146277237051157272e+03 3.607964227415398867e-04 2.421758888862653780e+00
1.410883119716342060e+00 1.262997959698350847e+01 4.271203146073053736e-01 4.324574780254365480e-01 1.155048605255309212e+03 3.740814936568883828e-04 2.439858836499002148e+00
1.449576806315681754e+00 1.262014754419358731e+01 4.348319515956783898e-01 4.518399839522778683e-01 1.164222051765719470e+03 3.877574971774161200e-04 2.459375444598819627e+00
1.488418673034736406e+00 1.261003745316985558e+01 4.426277202009255007e-01 4.721121479636767315e-01 1.173817155609970541e+03 4.018300411306105751e-04 2.479455858123325918e+00
1.527351898136498631e+00 1.260007379607179878e+01 4.505057862380856815e-01 4.933195200216444198e-01 1.183854583016386641e+03 4.163110003650132961e-04 2.500692903830627589e+00
1.566318213913075796e+00 1.258945230265901039e+01 4.584641351235937967e-01 5.155066249035775705e-01 1.194356105215263369e+03 4.312035494086387125e-04 2.522955624836511479e+00
1.605258128301986442e+00 1.257147827787061445e+01 4.665005021329293733e-01 5.387241987026978318e-01 1.205344562976238421e+03 4.465019189050927232e-04 2.545850421807738240e+00
1.644111266232379798e+00 1.256014305097764172e+01 4.746125314177784271e-01 5.630200288209029624e-01 1.216844178669229450e+03 4.622179293728981482e-04 2.570371060229786231e+00
1.682816625083445095e+00 1.254146459440936923e+01 4.827975746741881014e-01 5.884458840788809875e-01 1.228880335771921182e+03 4.783509648786053443e-04 2.594754998417354575e+00
1.721312831333916549e+00 1.252883429999460674e+01 4.910528836489473359e-01 6.150671941294525435e-01 1.241479946944642734e+03 4.949050198705784009e-04 2.621706204348955183e+00
1.759538569449032641e+00 1.251075220120185705e+01 4.993754110430080884e-01 6.429390678968167627e-01 1.254671248020641769e+03 5.118777524477641358e-04 2.649706560214737827e+00
1.797432824858594458e+00 1.249049730873831443e+01 5.077619517522059533e-01 6.721253741470186727e-01 1.268484094658130516e+03 5.292704399709052820e-04 2.678488814993441380e+00
1.834935211709216585e+00 1.247082450940860987e+01 5.162091167617770537e-01 7.026798150442068458e-01 1.282950030145268101e+03 5.470776396896044353e-04 2.708924485405470151e+00
1.871986299427440326e+00 1.244838977617874320e+01 5.247133028918048447e-01 7.347002825679095350e-01 1.298102339881528451e+03 5.653137635912529584e-04 2.740857115790050091e+00
1.908527940590500682e+00 1.242147671886803195e+01 5.332706620429532585e-01 7.682353659356392361e-01 1.313976092374620293e+03 5.839580246764237547e-04 2.775174165605222676e+00
1.944503619794201610e+00 1.240090397480482487e+01 5.418771671592118588e-01 8.033796798609049716e-01 1.330608376065354605e+03 6.030210833415357383e-04 2.809456846300802280e+00
1.979858684492455501e+00 1.237147617224154494e+01 5.505286040946280046e-01 8.402011369044345424e-01 1.348038406231492900e+03 6.224845133042161607e-04 2.846431075645911690e+00
2.014540680809355777e+00 1.234857303430678677e+01 5.592205606572995258e-01 8.787870489098017490e-01 1.366307632960382307e+03 6.423468408318715964e-04 2.884622352325635575e+00
2.048499627819531543e+00 1.231829703556916478e+01 5.679483770498787720e-01 9.192661169062980031e-01 1.385459761778113489e+03 6.626218153107408604e-04 2.922886498825752799e+00
2.081687888066281023e+00 1.228856382027066374e+01 5.767233143506880211e-01 9.490466220123775498e-01 1.405543815896290425e+03 6.750608882212017804e-04 1.164830818195633277e+00
2.114033461887265375e+00 1.225802929389407403e+01 5.858192808973686772e-01 9.500001552293039220e-01 1.426595717040406498e+03 6.663907231108856175e-04 1.365667277262960083e-02
2.145413303907006686e+00 1.222198859748767141e+01 5.953607920378856111e-01 9.499935172177846887e-01 1.448660629310491686e+03 6.562715417725232658e-04 3.825810750332004663e-04
2.175702027682038686e+00 1.219086021761746608e+01 6.053632552547147938e-01 9.500097636376085841e-01 1.471772517269991113e+03 6.460153000658310158e-04 3.910194168416446887e-04
2.204783121990301797e+00 1.215731813272615369e+01 6.158439609580372842e-01 9.500168351567550573e-01 1.495968967561162799e+03 6.356124067707610891e-04 2.508276035035199390e-03
2.232551053516496964e+00 1.211896013736709143e+01 6.268202034541473511e-01 9.499802226273704742e-01 1.521287403474262419e+03 6.250634069347864611e-04 -6.357334186345264815e-03
2.258912500301736515e+00 1.208006533125839432e+01 6.383109813083529538e-01 9.499986811927442210e-01 1.547768959001698022e+03 6.144238192764998408e-04 3.470442305506588575e-03
2.283787074707384068e+00 1.204051310271251118e+01 6.503335658082652904e-01 9.500264075847772993e-01 1.575450623481971661e+03 6.037000397266858998e-04 -1.165294510751713588e-03
2.307107491546493083e+00 1.199921535557934327e+01 6.629073666378220153e-01 9.499969170827895493e-01 1.604374098964343602e+03 5.928517036294561659e-04 1.333518938296074418e-03
2.328819189281927660e+00 1.195796815431317128e+01 6.760512311117972128e-01 9.499947515635567274e-01 1.634579564439832666e+03 5.819662712812501268e-04 -5.966299691598876470e-04
2.348880408424400379e+00 1.191116973724981953e+01 6.897849326760447930e-01 9.500014847959052933e-01 1.666109164534977481e+03 5.710257411953327186e-04 6.532976522191348773e-04
2.367261609648182219e+00 1.186779108004534322e+01 7.041283403455232959e-01 9.500022441346335222e-01 1.699005057593803940e+03 5.600483203459672571e-04 -1.051370761447528225e-04
2.383944600833538097e+00 1.181981906682939787e+01 7.191020025779698566e-01 9.499985546333337139e-01 1.733310672556799545e+03 5.490460773314259591e-04 -3.102692979824564793e-04
2.398922278091331517e+00 1.176987119029862505e+01 7.347268396185342443e-01 9.500001522520253872e-01 1.769070084700329971e+03 5.380393383173861805e-04 4.548857679954550247e-04
2.412197356676064608e+00 1.171957909801479580e+01 7.510241176297254295e-01 9.499974475848709243e-01 1.806328040376148010e+03 5.270416106423277298e-04 -3.971202294145689316e-04
2.423782084602254194e+00 1.166899430611071686e+01 7.680157817136836762e-01 9.500016935710656751e-01 1.845130430261904849e+03 5.160700681355946976e-04 -1.604669330395770558e-04
2.433696942927369822e+00 1.161184085176932790e+01 7.857241960021422722e-01 9.500022272510605381e-01 1.885523959397694171e+03 5.051341905681886900e-04 2.758097201618113037e-05
2.441970061482604315e+00 1.155804810207941280e+01 8.041723092015964358e-01 9.500018333893798239e-01 1.927556407262182574e+03 4.942482063628156992e-04 1.736603009269780664e-03
2.448636461558373334e+00 1.150100856068967836e+01 8.233834532047771271e-01 9.499615096902700451e-01 1.971276146474573579e+03 4.834240238741434239e-04 -3.594385116574463478e-03
2.453736963734597154e+00 1.144714921137076402e+01 8.433818839022482194e-01 9.499986176117778403e-01 2.016733398188825049e+03 4.726903559149211813e-04 1.118451155113093094e-04
2.457317620167888350e+00 1.138866541260773602e+01 8.641921471373952279e-01 9.499992881064177608e-01 2.063978817474157040e+03 4.620436618097328104e-04 -1.546950502201212968e-04
2.459429035224444782e+00 1.132825020193313748e+01 8.858396016516608684e-01 9.500015159031033329e-01 2.113064605299886352e+03 4.515003966163462349e-04 -1.326006994096748945e-04
2.460125321130520515e+00 1.126778647310177739e+01 9.083502915574107606e-01 9.499994011046573039e-01 2.164044215501580766e+03 4.410680984570193651e-04 5.063264298789016442e-05
