# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 3.461266094225781291e-05 1.618763780148716469e+00
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 3.590769009589395632e-05 1.602931278497092826e+00
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 3.729311859714824605e-05 1.646112032247381229e+00
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 3.877338565167619169e-05 1.688227427248799151e+00
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 4.036430943659201999e-05 1.723686458420950807e+00
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 4.203603730994130526e-05 1.751784434785142119e+00
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 4.379381085031752561e-05 1.772092298108987940e+00
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 4.563890961298400066e-05 1.793926974768295546e+00
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621386098067666037e-02 9.709491024109864838e+02 4.758042016635458479e-05 1.809660065986081090e+00
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.817958092748881455e-02 9.720050595976202885e+02 4.953316811759033263e-05 1.764248272438308396e+00
2.360981567605839326e-01 1.639740818257193311e+01 1.559059456286696344e-01 5.019326593298347600e-02 9.731298397680722019e+02 5.153740659598714241e-05 1.714045279316704251e+00
2.457997956927531757e-01 1.606633281720632311e+01 1.595567989683884524e-01 5.223671809885083867e-02 9.743225319597153202e+02 5.359243185142886209e-05 1.658612265417459986e+00
2.558982114703428623e-01 1.576917137795166113e+01 1.633519555209952401e-01 5.418088805575436984e-02 9.755393945219447005e+02 5.548607218573216760e-05 1.710026706510966221e+00
2.663819754112738414e-01 1.549902501555319034e+01 1.673242752970079683e-01 5.610416920259009982e-02 9.767822800902059726e+02 5.747615491149677379e-05 1.773966250766476183e+00
2.772503152312981722e-01 1.525781330194937802e+01 1.713837270176389593e-01 5.822540291381531757e-02 9.780689038476543828e+02 5.959181274336919988e-05 1.842150003012575477e+00
2.885285472918767691e-01 1.502773909106286432e+01 1.754244849935292505e-01 6.078857375943141905e-02 9.794197490929640253e+02 6.216793960329064289e-05 1.916370345199660097e+00
3.002532840403189240e-01 1.482748065257957926e+01 1.794774123924336162e-01 6.391471581494040377e-02 9.808269264097365294e+02 6.521047932855889408e-05 1.996919764553832355e+00
3.124506447192102465e-01 1.463730608760413077e+01 1.835752869721798686e-01 6.729157057613253945e-02 9.822922746645942880e+02 6.844281070692567000e-05 2.082861837319857745e+00
3.251395045635300241e-01 1.445986059799106904e+01 1.877459374774276546e-01 7.061381196354131473e-02 9.838190360774382270e+02 7.168486558429183763e-05 2.118604958218631484e+00
3.383371032902315889e-01 1.430013501825577826e+01 1.919761570614061386e-01 7.397203323257556251e-02 9.854067102341222153e+02 7.495355453490245234e-05 2.105325837205703987e+00
3.520634204569274561e-01 1.415784700868407242e+01 1.962695573177902220e-01 7.745189587252467034e-02 9.870606773528741087e+02 7.842530513197605081e-05 2.091050069832845804e+00
3.663363663946501148e-01 1.401759372364411149e+01 2.006313490143386280e-01 8.109619716075452955e-02 9.887839772003195549e+02 8.193224898017279715e-05 2.091835676529999688e+00
3.811750433909148472e-01 1.389723575779833631e+01 2.050562530920525262e-01 8.489292045569699074e-02 9.905779105772860476e+02 8.562533615940492613e-05 2.095373009437676792e+00
3.965977631989980878e-01 1.377982364202474486e+01 2.095530919397972369e-01 8.884692973321890730e-02 9.924483210806077977e+02 8.945609042806991766e-05 2.099092934679300804e+00
4.126221007082434555e-01 1.367185577377885153e+01 2.141176134064288750e-01 9.296800641089851547e-02 9.943959940083822175e+02 9.340724866663845029e-05 2.103009560243738196e+00
4.292660352710758187e-01 1.357776386330495377e+01 2.187556461184497758e-01 9.726091876976110384e-02 9.964267412274369917e+02 9.755168518849974420e-05 2.107103594470579822e+00
4.465460277698848346e-01 1.349041164752570765e+01 2.234658481950492215e-01 1.017361752717395873e-01 9.985424674662430107e+02 1.017981558668071084e-04 2.111411807586861755e+00
4.644789332263266068e-01 1.340881315067225366e+01 2.282519226549694913e-01 1.063996083138309540e-01 1.000748597114022573e+03 1.062580027061137600e-04 2.115910930853890815e+00
4.830800542870378744e-01 1.333718770804058984e+01 2.331133233049116071e-01 1.112620095371204820e-01 1.003047789838222229e+03 1.108384173792352435e-04 2.120632194343175847e+00
5.023646429238889377e-01 1.326733120407559063e+01 2.380536562104530185e-01 1.163303595271742985e-01 1.005445700613561939e+03 1.156240966723865701e-04 2.125566374761631572e+00
5.223465680636176778e-01 1.320715201235306679e+01 2.430718087196363231e-01 1.216158505887005442e-01 1.007945349784266341e+03 1.205791208526515746e-04 2.130729345035793809e+00
5.430390012551847834e-01 1.314801127543351278e+01 2.481717331571354768e-01 1.271269147273175193e-01 1.010552727177884208e+03 1.257079330212898614e-04 2.136127148525306385e+00
