# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
2.773453999974793138e-01 1.525187266758597993e+01 1.707776222548111067e-01 6.495503849475350866e-02 9.780701946369940742e+02 6.642511496402735409e-05 3.870397024401766917e+00
2.888406238111079216e-01 1.502203621011299717e+01 1.742881130583241456e-01 7.080487886936091824e-02 9.794305439507838855e+02 7.218567046785940092e-05 4.036196039500340227e+00
3.009217930442111832e-01 1.481202793097533998e+01 1.777456600334096082e-01 7.643260820597912175e-02 9.808492276796246188e+02 7.785752906407542397e-05 3.942486148124441758e+00
3.136376099400138284e-01 1.462759218102690006e+01 1.811563898174589349e-01 8.233845961987820705e-02 9.823313089286865534e+02 8.374647466591792042e-05 3.920125799517346632e+00
3.270362533657074078e-01 1.444682948445703730e+01 1.845255118702074648e-01 8.851688168457438888e-02 9.838800417951994177e+02 8.990996677786411320e-05 3.925604931627691307e+00
3.411649322282626628e-01 1.428714695601668261e+01 1.878600723185111510e-01 9.497854089433645230e-02 9.854991443736510064e+02 9.631753857712340285e-05 3.931498373412152691e+00
3.560704710734115541e-01 1.413223085956873071e+01 1.911677414478399339e-01 1.017356752913405882e-01 9.871931080345028704e+02 1.029826951663715404e-04 3.937785961178071226e+00
3.717992111116383280e-01 1.400229931369528735e+01 1.944528661759600263e-01 1.088061091903776284e-01 9.889659953771766823e+02 1.099475083395103336e-04 3.944445474294748344e+00
3.883969926394747474e-01 1.387951036523187298e+01 1.977198080713448713e-01 1.162084948753111524e-01 9.908221223188003250e+02 1.172186156273606822e-04 3.951492541987348339e+00
4.059092464804334721e-01 1.376898710378680057e+01 2.009727064045336853e-01 1.239613881406339962e-01 9.927661074096276934e+02 1.248054948658758388e-04 3.958939577015518463e+00
4.243809614116166307e-01 1.367053365992031821e+01 2.042152633576683474e-01 1.320837554059119678e-01 9.948028233108077529e+02 1.327118404607053009e-04 3.966807312147473841e+00
4.438566110798330411e-01 1.358728511394504324e+01 2.074507359137020557e-01 1.405954155824702956e-01 9.969373793618110540e+02 1.409585136494738130e-04 3.975087756468785649e+00
4.643800468596427922e-01 1.350732990735973083e+01 2.106818559362758081e-01 1.495176281041446231e-01 9.991750722599499568e+02 1.495687218076496362e-04 3.983774339223433270e+00
4.859943680068811167e-01 1.343719886494546323e+01 2.139111016672433918e-01 1.588726414030241507e-01 1.001521476933719669e+03 1.585578283836421520e-04 3.992989481351273628e+00
5.087417607946055353e-01 1.337747292136455535e+01 2.171407144146580426e-01 1.686842933640557707e-01 1.003982460151841678e+03 1.679432597032498597e-04 4.002716822116548556e+00
5.326633367748541126e-01 1.332754887152726653e+01 2.203726630224265293e-01 1.789768085657962582e-01 1.006564167859164172e+03 1.777305223906934138e-04 4.012806643627489400e+00
