# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 3.461266094225781291e-05 1.618763780148716469e+00
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 3.590769009589395632e-05 1.602931278497092826e+00
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 3.729311859714824605e-05 1.646112032247381229e+00
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 3.877338565167619169e-05 1.688227427248799151e+00
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 4.036430943659201999e-05 1.723686458420950807e+00
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 4.203603730994130526e-05 1.751784434785142119e+00
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 4.379381085031752561e-05 1.772092298108987940e+00
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 4.563890961298400066e-05 1.793926974768295546e+00
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621379400193253301e-02 9.709491024109864838e+02 4.758042016635458479e-05 1.810138782824347814e+00
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.817747811319152834e-02 9.720050595976202885e+02 4.953316811759033263e-05 1.769168536831148053e+00
2.360981481205385868e-01 1.639740837658436945e+01 1.559063667713440349e-01 5.024900327489419116e-02 9.731284503580898217e+02 5.154643612951274385e-05 1.686713446560269780e+00
2.457997043198114628e-01 1.606633226767044320e+01 1.595570664280809847e-01 5.229314790834049820e-02 9.743216677618493122e+02 5.362040709578302602e-05 1.557732309910484947e+00
2.558986259553313602e-01 1.576915572782006869e+01 1.633454512808209247e-01 5.375378182874047950e-02 9.755541575741578981e+02 5.476179290251829399e-05 1.484534752399176760e+00
2.663813770043496620e-01 1.549904803898032490e+01 1.673417599207500939e-01 5.501878840063442050e-02 9.768120016278620596e+02 5.588927594110026437e-05 1.411650806289710403e+00
2.772309229874573844e-01 1.525746524984137587e+01 1.715318966870130468e-01 5.616690818718834272e-02 9.781016141036699310e+02 5.708947624291342034e-05 1.333768370538137127e+00
2.884354496601543860e-01 1.503015953200780253e+01 1.758920453261877959e-01 5.730798505341432730e-02 9.794323525115892153e+02 5.836644456786949998e-05 1.250557930782308924e+00
2.999910485536210758e-01 1.482648855800764309e+01 1.803862474816289585e-01 5.858236913732559753e-02 9.808172635228652325e+02 5.972424007635144410e-05 1.161668035121780962e+00
3.119047696520245161e-01 1.463837065702512419e+01 1.849693652477147066e-01 6.013995349204660085e-02 9.822715025963960898e+02 6.125564387823951239e-05 1.111765241931285342e+00
3.241882693407134863e-01 1.446716294307072381e+01 1.896653272292474768e-01 6.197144434013846653e-02 9.837837293610049301e+02 6.304286002575599818e-05 1.139665028377145672e+00
3.368462537395534584e-01 1.430935204046654263e+01 1.944927908875971057e-01 6.400279448322269971e-02 9.853520991372813569e+02 6.494252026280536016e-05 1.169410049245824812e+00
3.498812691903143146e-01 1.416771595069374534e+01 1.994612175885900895e-01 6.616338070441334096e-02 9.869809836068886852e+02 6.696133203734240254e-05 1.201128662512497502e+00
3.632931554727206747e-01 1.402915194947085631e+01 2.045857909141212128e-01 6.837058494901060435e-02 9.886745723346899695e+02 6.910637553721822373e-05 1.234957620940031253e+00
3.770782173972245799e-01 1.390223498186927564e+01 2.098768683581549443e-01 7.057563322387928884e-02 9.904336000034594463e+02 7.115304892694902783e-05 1.241845169488911660e+00
3.912347958340490761e-01 1.378909472143246617e+01 2.153220381868436728e-01 7.284011602070138147e-02 9.922558357897640917e+02 7.325787479623204217e-05 1.240292675250823873e+00
4.057628494496832161e-01 1.368713530088693098e+01 2.209259480236336060e-01 7.517905955578793598e-02 9.941463453842869740e+02 7.549426255709594373e-05 1.238562222668091461e+00
4.206608848485386964e-01 1.358725250805366613e+01 2.266980510299269613e-01 7.760817648750198416e-02 9.961105566272885881e+02 7.786988534630295280e-05 1.236642166032046797e+00
4.359254557078711678e-01 1.348817356383686317e+01 2.326435856421130433e-01 8.013704309343973320e-02 9.981495619981000118e+02 8.018513366312283899e-05 1.238438528962623408e+00
4.515547822537104850e-01 1.340223032361516076e+01 2.387568464306894789e-01 8.275946121725911986e-02 1.000262097691130975e+03 8.260821892919238067e-05 1.240966055013056346e+00
4.675473222156508180e-01 1.331994512418166998e+01 2.450449518853494990e-01 8.547929113856561623e-02 1.002454298789119207e+03 8.518176849226186142e-05 1.243585842409577369e+00
4.838994160324170402e-01 1.324762954871511589e+01 2.515182212252671246e-01 8.830223379653302784e-02 1.004731281931635522e+03 8.781087639306398322e-05 1.246319003573445050e+00
5.006071317190545766e-01 1.317033606761824593e+01 2.581723653263481855e-01 9.122991715740125240e-02 1.007090722615971117e+03 9.046218812933315900e-05 1.249168762109662101e+00
5.176678451276224280e-01 1.310167770048103186e+01 2.650114898554276621e-01 9.426576006689296738e-02 1.009537833053107533e+03 9.327746719845521068e-05 1.252121760183203758e+00
